,name,occurances,color,ppg
391,Gold Malt Syrup,175,5.0,33.95232822284605
392,Special B Malt,175,174.6457142857143,29.766737205787088
393,British Amber,173,60.0,29.9378104081192
394,Carastan Malt,170,31.294117647058822,33.066605103712824
395,"Breiss CBW Bavarian Wheat, liquid",169,3.0,34.927445476139056
396,Cocoa powder ,168,5.0,33.72755704311525
397,Black (Patent) Malt,168,514.4345238095239,24.93629525660405
398,Crystal 55,164,55.0,33.9295184625351
399,CARAFA® III,164,524.2378048780488,31.93366443532714
400,Black Malt (),164,660.0,33.9295184625351
401,Malteurop Pale Malt (NZ),162,3.0,33.9295184625351
402,Bonlander,161,10.0,29.937810408119194
403,Gladfield Ale Malt (NZ),160,5.0,33.935755506370114
404,Castle Biscuit,160,25.125,34.927445476139056
405,White Wheat Malt,159,2.056603773584906,38.73714168530642
406,Belgian Candi Syrup - Extra Dark,158,180.126582278481,31.933664435327138
407,British Crystal 95-115L,157,105.0,32.93159144893111
408,Candi Syrup D-45,157,45.0,31.933664435327138
409,Floor malted bohemian pilsner malt,157,2.0,33.9295184625351
410,Black Patent,155,453.90967741935486,24.79365760896065
411,CaraBrown,152,55.11842105263158,33.92951846253509
412,Optic (UK),152,2.0,37.9015305890509
413,Dehusked Carafa III Special,151,500.0,33.9295184625351
414,"Oats, Malted ()",148,2.0,32.93159144893111
415,Castle Crystal (Cara 150),148,57.0,35.92537248974303
416,American Black Barley,148,500.0,34.927445476139056
417,Halcyon (UK),148,2.0135135135135136,35.93885798992687
418,Pearl (),148,3.0,33.9295184625351
419,carafa special I,148,320.0,41.845507070447674
420,briess cbw munich liquid extract,148,8.0,34.927445476139056
421,Crystal 135L,145,135.0,32.9315914489311
422,English Black Roast,144,127.0,24.948175340099333
423,Rauchmalz,144,3.0,34.92744547613906
424,"Candi Sugar Syrup, Dark",144,80.0,30.935737421723168
425,"Honey, Wildflower",143,1.06993006993007,34.927445476139056
426,Crystal 135L (UK),142,135.42253521126761,33.92951846253511
427,briess cbw sparkling amber liquid extract,142,17.0,34.927445476139056
428,German Carafa II,142,417.09154929577466,27.97006700101277
429,Caramel/Crystal Malt - 70L,140,70.21428571428571,33.9295184625351
430,British Crystal 25L,140,25.0,33.9295184625351
431,Biscuit Malt,140,24.178571428571427,35.03436622759663
432,American 6-Row,138,2.0,35.92537248974303
433,Wheat,138,1.2318840579710144,38.55758577200279
434,German Acid/Acidulated/Sauer Malt,135,2.0074074074074075,32.93159144893111
435,"Brown Sugar, Golden",135,30.014814814814816,46.90256963938675
436,Caracrystal® Wheat Malt,134,45.0,35.92537248974303
437,Buckwheat Honey,133,59.3609022556391,33.9295184625351
438,Belgian Candi Syrup A,133,40.0,35.92537248974304
439,Agave Nectar,132,36.88636363636363,33.94463856880183
